gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:48
deno;106.63%;0.28%;90.28MiB;31.18GiB;104MB;242MB;0B;176kB;9;21:05:51
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:51
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:51
deno;110.68%;0.28%;90.28MiB;31.18GiB;108MB;252MB;0B;176kB;9;21:05:54
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:54
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:54
deno;111.42%;0.28%;90.28MiB;31.18GiB;113MB;262MB;0B;176kB;9;21:05:57
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:05:57
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:05:57
deno;107.69%;0.28%;90.28MiB;31.18GiB;117MB;272MB;0B;176kB;9;21:06:00
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:00
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:00
deno;111.44%;0.28%;90.28MiB;31.18GiB;120MB;279MB;0B;176kB;9;21:06:03
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:03
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:03
deno;110.13%;0.28%;90.28MiB;31.18GiB;126MB;292MB;0B;176kB;9;21:06:06
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:06
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:06
deno;111.86%;0.28%;90.28MiB;31.18GiB;130MB;302MB;0B;176kB;9;21:06:09
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:09
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:09
deno;109.76%;0.28%;90.28MiB;31.18GiB;133MB;309MB;0B;176kB;9;21:06:12
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:12
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:12
deno;110.05%;0.28%;90.28MiB;31.18GiB;138MB;322MB;0B;176kB;9;21:06:15
node;0.00%;0.14%;46MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:06:15
gifted_nobel;0.00%;1.11%;353.3MiB;31.18GiB;644MB;3.53GB;0B;0B;13;21:06:15
deno;109.21%;0.28%;90.28MiB;31.18GiB;141MB;328MB;0B;176kB;9;21:06:18
